data,dollar,yuan
2022-07-28,602198.0,9.04128
2022-07-27,586605.0,8.78717
2022-07-26,577821.0,8.63099
2022-07-23,573917.0,8.58282
2022-07-22,564783.0,8.39854
2022-07-21,548491.0,8.16011
2022-07-20,554370.0,8.25787
2022-07-19,565616.0,8.42641
2022-07-16,578323.0,8.57233
2022-07-15,582568.0,8.63954
2022-07-14,585322.0,8.724509999999999
2022-07-13,588541.0,8.79476
2022-07-12,613045.0,9.21024
2022-07-09,612664.0,9.282680000000001
2022-07-08,631427.0,9.59366
2022-07-07,629110.0,9.55793
2022-07-06,585118.0,8.94609
2022-07-05,550858.0,8.713989999999999
2022-07-02,537676.0,8.59418
2022-07-01,525123.0,8.28897
2022-06-30,511580.0,7.69846
2022-06-29,529699.0,7.97616
2022-06-28,533641.0,8.04837
2022-06-25,533234.0,8.01826
2022-06-24,533578.0,8.00483
2022-06-23,532788.0,8.02259
2022-06-22,547081.0,8.26992
2022-06-21,561727.0,8.47402
2022-06-18,567101.0,8.55776
2022-06-17,568691.0,8.55449
2022-06-16,566624.0,8.54161
2022-06-15,570926.0,8.60514
2022-06-11,577780.0,8.897920000000001
2022-06-10,583895.0,9.081109999999999
2022-06-09,602282.0,9.26609
2022-06-08,609565.0,9.300360000000001
2022-06-07,611094.0,9.30979
2022-06-04,619659.0,9.41664
2022-06-03,615750.0,9.357009999999999
2022-06-02,614733.0,9.37092
2022-06-01,616069.0,9.40696
2022-05-31,630975.0,9.56025
2022-05-28,664029.0,10.0616
2022-05-27,620495.0,9.47641
2022-05-26,562996.0,8.5902
2022-05-25,569690.0,8.70648
2022-05-24,582087.0,8.79854
2022-05-21,588862.0,8.880320000000001
2022-05-20,624031.0,9.2395
2022-05-19,635643.0,9.45947
2022-05-18,635428.0,9.44705
2022-05-17,634445.0,9.362309999999999
2022-05-14,637799.0,9.36542
2022-05-13,657916.0,9.6905
2022-05-12,688389.0,10.2029
2022-05-07,673843.0,10.0352
2022-05-06,662378.0,9.99646
2022-05-05,694160.0,10.4877
2022-04-30,710237.0,10.8518
2022-04-29,722953.0,10.9613
2022-04-28,728764.0,11.1223
2022-04-27,727089.0,11.1576
2022-04-26,733611.0,11.2289
2022-04-23,735050.0,11.3057
2022-04-22,749990.0,11.635
2022-04-21,770809.0,12.0155
2022-04-20,790287.0,12.3602
2022-04-19,794529.0,12.4818
2022-04-16,800437.0,12.563
2022-04-15,812880.0,12.7499
2022-04-14,798471.0,12.5374
2022-04-13,796274.0,12.5043
2022-04-12,791596.0,12.4234
2022-04-09,748501.0,11.7611
2022-04-08,762547.0,11.9862
2022-04-07,825962.0,12.9838
2022-04-06,833520.0,13.0993
2022-04-05,835932.0,13.1372
2022-04-02,834285.0,13.1111
2022-04-01,834097.0,13.1569
2022-03-31,840851.0,13.2388
2022-03-30,862843.0,13.555
2022-03-29,937125.0,14.7104
2022-03-26,956618.0,15.031
2022-03-25,960458.0,15.0771
2022-03-24,1031618.0,16.1891
2022-03-23,1040741.0,16.3582
2022-03-22,1046819.0,16.4716
2022-03-19,1039524.0,16.3332
2022-03-18,1048012.0,16.5039
2022-03-17,1080521.0,17.0155
2022-03-16,1114823.0,17.4743
2022-03-15,1151963.0,18.2218
2022-03-12,1167517.0,18.4678
2022-03-11,1203785.0,19.0415
2022-03-10,1160847.0,18.3719
2022-03-06,1058124.0,16.7425
2022-03-05,1058124.0,16.7449
2022-03-04,1117564.0,17.6869
2022-03-03,1032487.0,16.3599
2022-03-02,917457.0,14.534
2022-03-01,935589.0,14.8243
2022-02-26,835485.0,13.2325
2022-02-25,869288.0,13.7485
2022-02-23,804194.0,12.6927
2022-02-22,767671.0,12.1208
2022-02-19,757619.0,11.9751
2022-02-18,757527.0,11.9516
2022-02-17,750141.0,11.841
2022-02-16,761660.0,11.9988
2022-02-15,765762.0,12.0416
2022-02-12,749867.0,11.7915
2022-02-11,747241.0,11.7502
2022-02-10,748015.0,11.7592
2022-02-09,753042.0,11.8243
2022-02-08,756806.0,11.9028
2022-02-05,760509.0,11.9558
2022-02-04,766501.0,12.05
2022-02-03,764849.0,12.024
2022-02-02,771302.0,12.1255
2022-02-01,774702.0,12.1789
2022-01-29,778174.0,12.2258
2022-01-28,789470.0,12.4054
2022-01-27,789437.0,12.4864
2022-01-26,786422.0,12.4324
2022-01-25,773649.0,12.219
2022-01-22,766903.0,12.0972
2022-01-21,764408.0,12.052
2022-01-20,768697.0,12.1011
2022-01-19,763347.0,12.018
2022-01-18,760404.0,11.9798
2022-01-15,757668.0,11.9457
2022-01-14,745686.0,11.7246
2022-01-13,745277.0,11.7088
2022-01-12,748355.0,11.7446
2022-01-11,751315.0,11.7907
2021-12-31,742926.0,11.6503
2021-12-30,736514.0,11.5599
2021-12-29,734959.0,11.5353
2021-12-28,732329.0,11.4924
2021-12-25,731886.0,11.4907
2021-12-24,733583.0,11.5162
2021-12-23,737901.0,11.5796
2021-12-22,738206.0,11.5884
2021-12-21,742947.0,11.6482
2021-12-18,737330.0,11.5678
2021-12-17,735708.0,11.5525
2021-12-16,738510.0,11.6029
2021-12-15,734698.0,11.5466
2021-12-14,734107.0,11.536
2021-12-11,736059.0,11.5542
2021-12-10,735998.0,11.6
2021-12-09,738453.0,11.622
2021-12-08,741399.0,11.6426
2021-12-07,736694.0,11.5622
2021-12-04,737426.0,11.578
2021-12-03,740637.0,11.6213
2021-12-02,739746.0,11.6128
2021-12-01,748926.0,11.7547
2021-11-30,749818.0,11.7482
2021-11-27,755873.0,11.8266
2021-11-26,746004.0,11.6758
2021-11-25,743726.0,11.6427
2021-11-24,748327.0,11.7212
2021-11-23,734506.0,11.5175
2021-11-20,727617.0,11.4016
2021-11-19,726022.0,11.3773
2021-11-18,728228.0,11.4108
2021-11-17,725553.0,11.3768
2021-11-16,722724.0,11.3267
2021-11-13,718118.0,11.2369
2021-11-12,711964.0,11.1158
2021-11-11,706950.0,11.0601
2021-11-10,712866.0,11.1465
